CODE*COMPLETO*DESCRIPCION1*DESCRIPCION2
M1A3711*1*Chronic gout due to renal impairment, right ank/ft, w toph*Gota crónica debida a insuficiencia renal, tobillo y pie derechos, con tofos (tofos)
M184*1*Oth bi secondary osteoarth of first carpometacarp joints*Otra osteoartritis secundaria bilateral de las primeras articulaciones carpometacarpianas
M185*0*Oth unil secondary osteoarth of first carpometacarp joint*Otras artrosis secundarias unilaterales de la primera articulación carpometacarpiana
M1850*1*Oth unil sec osteoarth of 1st carpometacarp joint, unsp hand*Otras artrosis secundarias unilaterales de la primera articulación carpometacarpiana, mano no especificada
M1851*1*Oth unil sec osteoarth of first carpometacarp joint, r hand*Otras artrosis secundarias unilaterales de la primera articulación carpometacarpiana, mano derecha
M1852*1*Oth unil sec osteoarth of first carpometacarp joint, l hand*Otras artrosis secundarias unilaterales de la primera articulación carpometacarpiana, mano izquierda
M189*1*Osteoarthritis of first carpometacarpal joint, unspecified*Artrosis de la primera articulación carpometacarpiana, no especificada
M19*0*Other and unspecified osteoarthritis*Otras osteoartritis y las no especificadas
M190*0*Primary osteoarthritis of other joints*Artrosis primaria de otras articulaciones
M1901*0*Primary osteoarthritis, shoulder*Artrosis primaria, hombro
M19011*1*Primary osteoarthritis, right shoulder*Artrosis primaria, hombro derecho
M19012*1*Primary osteoarthritis, left shoulder*Artrosis primaria, hombro izquierdo
M19019*1*Primary osteoarthritis, unspecified shoulder*Artrosis primaria, hombro no especificado
M1902*0*Primary osteoarthritis, elbow*Artrosis primaria, codo
M19021*1*Primary osteoarthritis, right elbow*Artrosis primaria, codo derecho
M19022*1*Primary osteoarthritis, left elbow*Artrosis primaria, codo izquierdo
M19029*1*Primary osteoarthritis, unspecified elbow*Artrosis primaria, codo no especificado
M1903*0*Primary osteoarthritis, wrist*Artrosis primaria, muñeca
M19031*1*Primary osteoarthritis, right wrist*Artrosis primaria, muñeca derecha
M19032*1*Primary osteoarthritis, left wrist*Artrosis primaria, muñeca izquierda
M19039*1*Primary osteoarthritis, unspecified wrist*Artrosis primaria, muñeca no especificada
M1904*0*Primary osteoarthritis, hand*Artrosis primaria, mano
M19041*1*Primary osteoarthritis, right hand*Artrosis primaria, mano derecha
M19042*1*Primary osteoarthritis, left hand*Artrosis primaria, mano izquierda
M19049*1*Primary osteoarthritis, unspecified hand*Artrosis primaria, mano no especificada
M1907*0*Primary osteoarthritis ankle and foot*Artrosis primaria de tobillo y pie
M19071*1*Primary osteoarthritis, right ankle and foot*Artrosis primaria, tobillo y pie derechos
M19072*1*Primary osteoarthritis, left ankle and foot*Artrosis primaria, tobillo y pie izquierdos
M19079*1*Primary osteoarthritis, unspecified ankle and foot*Artrosis primaria, tobillo y pie no especificados
M191*0*Post-traumatic osteoarthritis of other joints*Artrosis postraumática de otras articulaciones
M1911*0*Post-traumatic osteoarthritis, shoulder*Artrosis postraumática, hombro
M19111*1*Post-traumatic osteoarthritis, right shoulder*Artrosis postraumática, hombro derecho
M19112*1*Post-traumatic osteoarthritis, left shoulder*Artrosis postraumática, hombro izquierdo
M19119*1*Post-traumatic osteoarthritis, unspecified shoulder*Artrosis postraumática, hombro no especificado
M1912*0*Post-traumatic osteoarthritis, elbow*Artrosis postraumática, codo
M19121*1*Post-traumatic osteoarthritis, right elbow*Artrosis postraumática, codo derecho
M19122*1*Post-traumatic osteoarthritis, left elbow*Artrosis postraumática, codo izquierdo
M19129*1*Post-traumatic osteoarthritis, unspecified elbow*Artrosis postraumática, codo no especificado
M1913*0*Post-traumatic osteoarthritis, wrist*Artrosis postraumática, muñeca
M19131*1*Post-traumatic osteoarthritis, right wrist*Artrosis postraumática, muñeca derecha
M19132*1*Post-traumatic osteoarthritis, left wrist*Artrosis postraumática, muñeca izquierda
M19139*1*Post-traumatic osteoarthritis, unspecified wrist*Artrosis postraumática, muñeca no especificada
M1914*0*Post-traumatic osteoarthritis, hand*Artrosis postraumática, mano
M19141*1*Post-traumatic osteoarthritis, right hand*Artrosis postraumática, mano derecha
M19142*1*Post-traumatic osteoarthritis, left hand*Artrosis postraumática, mano izquierda
M19149*1*Post-traumatic osteoarthritis, unspecified hand*Artrosis postraumática, mano no especificada
M1917*0*Post-traumatic osteoarthritis, ankle and foot*Artrosis postraumática, tobillo y pie
M19171*1*Post-traumatic osteoarthritis, right ankle and foot*Artrosis postraumática, tobillo y pie derechos
M1A45*0*Other secondary chronic gout, hip*Otra gota crónica secundaria, cadera
M1A451*0*Other secondary chronic gout, right hip*Otra gota crónica secundaria, cadera derecha
M1A4510*1*Other secondary chronic gout, right hip, without tophus*Otra gota crónica secundaria, cadera derecha, sin tofos (tofos)
M1A4511*1*Other secondary chronic gout, right hip, with tophus (tophi)*Otra gota crónica secundaria, cadera derecha, con tofos (tofos)
M1A452*0*Other secondary chronic gout, left hip*Otra gota crónica secundaria, cadera izquierda
M1A4520*1*Other secondary chronic gout, left hip, without tophus*Otra gota crónica secundaria, cadera izquierda, sin tofos (tofos)
M1A4521*1*Other secondary chronic gout, left hip, with tophus (tophi)*Otra gota crónica secundaria, cadera izquierda, con tofos (tofos)
M1A459*0*Other secondary chronic gout, unspecified hip*Otra gota crónica secundaria, cadera no especificada
M1A4590*1*Other secondary chronic gout, unsp hip, without tophus*Otra gota crónica secundaria, cadera no especificada, sin tofos (tofos)
M1A4591*1*Other secondary chronic gout, unspecified hip, with tophus*Otra gota crónica secundaria, cadera no especificada, con tofo (tofos)
M1A46*0*Other secondary chronic gout, knee*Otra gota crónica secundaria, rodilla
M1A461*0*Other secondary chronic gout, right knee*Otra gota crónica secundaria, rodilla derecha
M1A4610*1*Other secondary chronic gout, right knee, without tophus*Otra gota crónica secundaria, rodilla derecha, sin tofos (tofos)
M1A4611*1*Other secondary chronic gout, right knee, with tophus*Otra gota crónica secundaria, rodilla derecha, con tofos (tofos)
M1A462*0*Other secondary chronic gout, left knee*Otra gota crónica secundaria, rodilla izquierda
M1A4620*1*Other secondary chronic gout, left knee, without tophus*Otra gota crónica secundaria, rodilla izquierda, sin tofos (tofos)
M1A4621*1*Other secondary chronic gout, left knee, with tophus (tophi)*Otra gota crónica secundaria, rodilla izquierda, con tofos (tofos)
M1A469*0*Other secondary chronic gout, unspecified knee*Otra gota crónica secundaria, rodilla no especificada
M1A4690*1*Other secondary chronic gout, unsp knee, without tophus*Otra gota crónica secundaria, rodilla no especificada, sin tofos (tofos)
M1A4691*1*Other secondary chronic gout, unspecified knee, with tophus*Otra gota crónica secundaria, rodilla no especificada, con tofo (tofos)
M1A47*0*Other secondary chronic gout, ankle and foot*Otra gota crónica secundaria, tobillo y pie
M1A471*0*Other secondary chronic gout, right ankle and foot*Otra gota crónica secundaria, tobillo y pie derechos
M1A4710*1*Oth secondary chronic gout, right ankle and foot, w/o tophus*Otra gota crónica secundaria, tobillo y pie derechos, sin tofos (tofos)
M1A4711*1*Oth secondary chronic gout, right ankle and foot, w tophus*Otra gota crónica secundaria, tobillo y pie derechos, con tofos (tofos)
M1A472*0*Other secondary chronic gout, left ankle and foot*Otra gota crónica secundaria, tobillo y pie izquierdos
M1A4720*1*Oth secondary chronic gout, left ankle and foot, w/o tophus*Otra gota crónica secundaria, tobillo y pie izquierdos, sin tofos (tofos)
M1A4721*1*Oth secondary chronic gout, left ankle and foot, with tophus*Otra gota crónica secundaria, tobillo y pie izquierdos, con tofos (tofos)
M1A479*0*Other secondary chronic gout, unspecified ankle and foot*Otra gota crónica secundaria, tobillo y pie no especificados
M1A4790*1*Oth secondary chronic gout, unsp ankle and foot, w/o tophus*Otra gota crónica secundaria, tobillo y pie no especificados, sin tofos (tofos)
M1A4791*1*Oth secondary chronic gout, unsp ankle and foot, with tophus*Otra gota crónica secundaria, tobillo y pie no especificados, con tofos (tofos)
M1A48*0*Other secondary chronic gout, vertebrae*Otra gota crónica secundaria, vértebras
M1A48X0*1*Other secondary chronic gout, vertebrae, without tophus*Otra gota crónica secundaria, vértebras, sin tofos (tofos)
M1A48X1*1*Other secondary chronic gout, vertebrae, with tophus (tophi)*Otra gota crónica secundaria, vértebras, con tofos (tofos)
M1A49*0*Other secondary chronic gout, multiple sites*Otra gota crónica secundaria, múltiples localizaciones
M1A49X0*1*Other secondary chronic gout, multiple sites, without tophus*Otra gota crónica secundaria, múltiples localizaciones, sin tofos (tofos)
M1A49X1*1*Other secondary chronic gout, multiple sites, with tophus*Otra gota crónica secundaria, múltiples localizaciones, con tofos (tofos)
M1A9*0*Chronic gout, unspecified*Gota crónica, no especificada
M1A9XX0*1*Chronic gout, unspecified, without tophus (tophi)*Gota crónica, no especificada, sin tofos (tofos)
M1A9XX1*1*Chronic gout, unspecified, with tophus (tophi)*Gota crónica, no especificada, con tofos (tofos)
M10*0*Gout*Gota
M100*0*Idiopathic gout*Gota idiopática
M1000*1*Idiopathic gout, unspecified site*Gota idiopática, localización no especificada
M1001*0*Idiopathic gout, shoulder*Gota idiopática, hombro
M10011*1*Idiopathic gout, right shoulder*Gota idiopática, hombro derecho
M10012*1*Idiopathic gout, left shoulder*Gota idiopática, hombro izquierdo
M10019*1*Idiopathic gout, unspecified shoulder*Gota idiopática, hombro no especificado
M1002*0*Idiopathic gout, elbow*Gota idiopática, codo
M10021*1*Idiopathic gout, right elbow*Gota idiopática, codo derecho
M10022*1*Idiopathic gout, left elbow*Gota idiopática, codo izquierdo
M10029*1*Idiopathic gout, unspecified elbow*Gota idiopática, codo no especificado
M1003*0*Idiopathic gout, wrist*Gota idiopática, muñeca
M10031*1*Idiopathic gout, right wrist*Gota idiopática, muñeca derecha
M10032*1*Idiopathic gout, left wrist*Gota idiopática, muñeca izquierda
M10039*1*Idiopathic gout, unspecified wrist*Gota idiopática, muñeca no especificada
M1004*0*Idiopathic gout, hand*Gota idiopática, mano
M10041*1*Idiopathic gout, right hand*Gota idiopática, mano derecha
M10042*1*Idiopathic gout, left hand*Gota idiopática, mano izquierda
M10049*1*Idiopathic gout, unspecified hand*Gota idiopática, mano no especificada
M1005*0*Idiopathic gout, hip*Gota idiopática, cadera
M10051*1*Idiopathic gout, right hip*Gota idiopática, cadera derecha
M10052*1*Idiopathic gout, left hip*Gota idiopática, cadera izquierda
M10059*1*Idiopathic gout, unspecified hip*Gota idiopática, cadera no especificada
M1006*0*Idiopathic gout, knee*Gota idiopática, rodilla
M10061*1*Idiopathic gout, right knee*Gota idiopática, rodilla derecha
M10062*1*Idiopathic gout, left knee*Gota idiopática, rodilla izquierda
M10069*1*Idiopathic gout, unspecified knee*Gota idiopática, rodilla no especificada
M1007*0*Idiopathic gout, ankle and foot*Gota idiopática, tobillo y pie
M10071*1*Idiopathic gout, right ankle and foot*Gota idiopática, tobillo y pie derechos
M10072*1*Idiopathic gout, left ankle and foot*Gota idiopática, tobillo y pie izquierdos
M10079*1*Idiopathic gout, unspecified ankle and foot*Gota idiopática, tobillo y pie no especificados
M1008*1*Idiopathic gout, vertebrae*Gota idiopática, vértebras
M1009*1*Idiopathic gout, multiple sites*Gota idiopática, múltiples localizaciones
M101*0*Lead-induced gout*Gota inducida por plomo
M1010*1*Lead-induced gout, unspecified site*Gota inducida por plomo, sitio no especificado
M1011*0*Lead-induced gout, shoulder*Gota inducida por plomo, hombro
M10111*1*Lead-induced gout, right shoulder*Gota inducida por plomo, hombro derecho
M10112*1*Lead-induced gout, left shoulder*Gota inducida por plomo, hombro izquierdo
M10119*1*Lead-induced gout, unspecified shoulder*Gota inducida por plomo, hombro no especificado
M1012*0*Lead-induced gout, elbow*Gota inducida por plomo, codo
M10121*1*Lead-induced gout, right elbow*Gota inducida por plomo, codo derecho
M10122*1*Lead-induced gout, left elbow*Gota inducida por plomo, codo izquierdo
M10129*1*Lead-induced gout, unspecified elbow*Gota inducida por plomo, codo no especificado
M1013*0*Lead-induced gout, wrist*Gota inducida por plomo, muñeca
M10131*1*Lead-induced gout, right wrist*Gota inducida por plomo, muñeca derecha
M10132*1*Lead-induced gout, left wrist*Gota inducida por plomo, muñeca izquierda
M10139*1*Lead-induced gout, unspecified wrist*Gota inducida por plomo, muñeca no especificada
M1014*0*Lead-induced gout, hand*Gota inducida por plomo, mano
M10141*1*Lead-induced gout, right hand*Gota inducida por plomo, mano derecha
M10142*1*Lead-induced gout, left hand*Gota inducida por plomo, mano izquierda
M10149*1*Lead-induced gout, unspecified hand*Gota inducida por plomo, mano no especificada
M1015*0*Lead-induced gout, hip*Gota inducida por plomo, cadera
M10151*1*Lead-induced gout, right hip*Gota inducida por plomo, cadera derecha
M10152*1*Lead-induced gout, left hip*Gota inducida por plomo, cadera izquierda
M10159*1*Lead-induced gout, unspecified hip*Gota inducida por plomo, cadera no especificada
M1016*0*Lead-induced gout, knee*Gota inducida por plomo, rodilla
